Transect	Plot	SampleDate	Year	Parameter	Value
B	02	20050816	2005	RootDpth	21
B	02	20020821	2002	CanoOpen	7.44
B	02	19990825	1999	TreeYear	1912
B	03	20000822	2000	Lat	45.9929358
B	03	20000822	2000	Long	-74.00155352
B	03	20000822	2000	Elev	387.967
B	03	20060815	2006	Slope	22
B	03	20060815	2006	SloOrien	157
B	03	20000822	2000	SloShape	1
B	03	20060815	2006	SurfRock	3
B	03	20050816	2005	ThickO	6
B	03	20050816	2005	ThickA	5
B	03	20060815	2006	PresE	0
B	03	20050816	2005	RootDpth	25
B	03	20020821	2002	CanoOpen	14.76
B	03	19990825	1999	TreeYear	1912
B	04	20000822	2000	Lat	45.99311207
B	04	20000822	2000	Long	-74.00084827
B	04	20000822	2000	Elev	398.092
B	04	20060815	2006	Slope	46
B	04	20060815	2006	SloOrien	201
B	04	20000822	2000	SloShape	1
B	04	20060815	2006	SurfRock	5
B	04	20050816	2005	ThickO	4
B	04	20050816	2005	ThickA	4
B	04	20060815	2006	PresE	0
B	04	20050816	2005	RootDpth	29
B	04	20020821	2002	CanoOpen	8.7
B	04	19990825	1999	TreeYear	1914
B	05	20000822	2000	Lat	45.9932788
B	05	20000822	2000	Long	-74.00033003
B	05	20000822	2000	Elev	392.961
B	05	20060815	2006	Slope	44
B	05	20060815	2006	SloOrien	210
B	05	20000822	2000	SloShape	1
B	05	20060815	2006	SurfRock	6
B	05	20050816	2005	ThickO	7
B	05	20050816	2005	ThickA	4
B	05	20060815	2006	PresE	0
B	05	20050816	2005	RootDpth	21
B	05	20020821	2002	CanoOpen	3.36
B	05	19990825	1999	TreeYear	1935
B	06	20000822	2000	Lat	45.99345037
B	06	20000822	2000	Long	-73.99981922
B	06	20000822	2000	Elev	392.321
B	06	20060815	2006	Slope	43
B	06	20060815	2006	SloOrien	180
B	06	20000822	2000	SloShape	1
B	06	20060815	2006	SurfRock	5
B	06	20050816	2005	ThickO	5
B	06	20050816	2005	ThickA	3
B	06	20060815	2006	PresE	1
B	06	20050816	2005	RootDpth	30
B	06	20020821	2002	CanoOpen	5.71
B	06	19990825	1999	TreeYear	1933
B	07	20000822	2000	Lat	45.99357417
B	07	20000822	2000	Long	-73.9992657
B	07	20000822	2000	Elev	384.817
B	07	20060815	2006	Slope	54
B	07	20060815	2006	SloOrien	111
B	07	20000822	2000	SloShape	2
B	07	20060815	2006	SurfRock	4
B	07	20050816	2005	ThickO	4
B	07	20050816	2005	ThickA	7
B	07	20060815	2006	PresE	0
B	07	20050816	2005	RootDpth	40
B	07	20020821	2002	CanoOpen	6.94
B	07	19990825	1999	TreeYear	1942
B	08	20000822	2000	Lat	45.99373473
B	08	20000822	2000	Long	-73.99857825
B	08	20000822	2000	Elev	397.93
B	08	20060815	2006	Slope	25
B	08	20060815	2006	SloOrien	150
B	08	20060815	2006	SurfRock	2
B	08	20050816	2005	ThickO	5
B	08	20050816	2005	ThickA	7
B	08	20060815	2006	PresE	1
B	08	20050816	2005	RootDpth	27
B	08	20020821	2002	CanoOpen	6.2
B	08	19990825	1999	TreeYear	1932
C	01	20000822	2000	Lat	45.99302378
C	01	20000822	2000	Long	-74.00364723
C	01	20000822	2000	Elev	366.605
C	01	20060815	2006	Slope	39
C	01	20060815	2006	SloOrien	239
C	01	20000822	2000	SloShape	1
C	01	20060815	2006	SurfRock	4
C	01	20050816	2005	ThickO	6
C	01	20050816	2005	ThickA	1
C	01	20060815	2006	PresE	1
C	01	20050816	2005	RootDpth	25
C	01	20020821	2002	CanoOpen	3
C	01	19990825	1999	TreeYear	1917
C	02	20000822	2000	Lat	45.99319535
C	02	20000822	2000	Long	-74.00308233
C	02	20000822	2000	Elev	377.949
C	02	20060815	2006	Slope	34
C	02	20060815	2006	SloOrien	260
C	02	20000822	2000	SloShape	1
C	02	20060815	2006	SurfRock	2
C	02	20050816	2005	ThickO	3
C	02	20050816	2005	ThickA	5
C	02	20060815	2006	PresE	1
C	02	20050816	2005	RootDpth	25
C	02	20020821	2002	CanoOpen	6.17
C	02	19990825	1999	TreeYear	1912
C	03	20000822	2000	Lat	45.99342897
C	03	20000822	2000	Long	-74.00221363
C	03	20000822	2000	Elev	392.44
C	03	20060815	2006	Slope	0
C	03	20060815	2006	SloOrien	242
C	03	20000822	2000	SloShape	1
C	03	20060815	2006	SurfRock	2
C	03	20050816	2005	ThickO	7
C	03	20050816	2005	ThickA	4
C	03	20060815	2006	PresE	1
C	03	20050816	2005	RootDpth	26
C	03	20020821	2002	CanoOpen	11.72
C	03	19990825	1999	TreeYear	1915
C	04	20000822	2000	Lat	45.99358493
C	04	20000822	2000	Long	-74.00158383
C	04	20000822	2000	Elev	399.758
C	04	20060815	2006	Slope	18
C	04	20060815	2006	SloOrien	258
C	04	20000822	2000	SloShape	1
C	04	20060815	2006	SurfRock	2
C	04	20050816	2005	ThickO	5
C	04	20050816	2005	ThickA	6
C	04	20060815	2006	PresE	1
C	04	20050816	2005	RootDpth	28
C	04	20020821	2002	CanoOpen	10.28
C	04	19990825	1999	TreeYear	1918
C	05	20000822	2000	Lat	45.99370727
C	05	20000822	2000	Long	-74.00110575
C	05	20000822	2000	Elev	398.204
C	05	20060815	2006	Slope	38
C	05	20060815	2006	SloOrien	225
C	05	20000822	2000	SloShape	2
C	05	20060815	2006	SurfRock	2
C	05	20050816	2005	ThickO	5
C	05	20050816	2005	ThickA	3
C	05	20060815	2006	PresE	0
C	05	20050816	2005	RootDpth	25
C	05	20020821	2002	CanoOpen	2.64
C	05	19990825	1999	TreeYear	1921
C	06	20000822	2000	Lat	45.993807
C	06	20000822	2000	Long	-74.00085703
C	06	20000822	2000	Elev	413.208
C	06	20060815	2006	Slope	27
C	06	20060815	2006	SloOrien	224
C	06	20000822	2000	SloShape	1
C	06	20060815	2006	SurfRock	4
C	06	20050816	2005	ThickO	5
C	06	20050816	2005	ThickA	3
C	06	20060815	2006	PresE	0
C	06	20050816	2005	RootDpth	30
C	06	20020821	2002	CanoOpen	4.1
C	06	19990825	1999	TreeYear	1935
C	07	20000822	2000	Lat	45.99390002
C	07	20000822	2000	Long	-74.00018162
C	07	20000822	2000	Elev	424.498
C	07	20060815	2006	Slope	15
C	07	20060815	2006	SloOrien	210
C	07	20000822	2000	SloShape	1
C	07	20060815	2006	SurfRock	3
C	07	20050816	2005	ThickO	5
C	07	20050816	2005	ThickA	6
C	07	20060815	2006	PresE	1
C	07	20050816	2005	RootDpth	35
C	07	20020821	2002	CanoOpen	3.07
C	07	19990825	1999	TreeYear	1932
C	08	20000822	2000	Lat	45.99393133
C	08	20000822	2000	Long	-73.99960712
C	08	20000822	2000	Elev	410.968
C	08	20060815	2006	Slope	13
C	08	20060815	2006	SloOrien	100
C	08	20000822	2000	SloShape	1
C	08	20060815	2006	SurfRock	3
C	08	20050816	2005	ThickO	6
C	08	20050816	2005	ThickA	5
C	08	20060815	2006	PresE	1
C	08	20050816	2005	RootDpth	30
C	08	20020821	2002	CanoOpen	9.82
C	08	19990825	1999	TreeYear	1938
D	01	20000822	2000	Lat	45.99325638
D	01	20000822	2000	Long	-74.00404735
D	01	20000822	2000	Elev	365.251
D	01	20060815	2006	Slope	18
D	01	20060815	2006	SloOrien	254
D	01	20000822	2000	SloShape	2
D	01	20060815	2006	SurfRock	4
D	01	20050816	2005	ThickO	8
D	01	20050816	2005	ThickA	5
D	01	20060815	2006	PresE	1
D	01	20050816	2005	RootDpth	27
D	01	20020821	2002	CanoOpen	9.34
D	01	19990825	1999	TreeYear	1903
D	02	20000822	2000	Lat	45.99348607
D	02	20000822	2000	Long	-74.0033769
D	02	20000822	2000	Elev	381.013
D	02	20060815	2006	Slope	27
D	02	20060815	2006	SloOrien	303
D	02	20000822	2000	SloShape	3
D	02	20060815	2006	SurfRock	2
D	02	20050816	2005	ThickO	8
D	02	20050816	2005	ThickA	6
D	02	20060815	2006	PresE	1
D	02	20050816	2005	RootDpth	25
D	02	20020821	2002	CanoOpen	6.15
D	02	19990825	1999	TreeYear	1910
D	03	20000822	2000	Lat	45.99358807
D	03	20000822	2000	Long	-74.00280838
D	03	20000822	2000	Elev	389.807
D	03	20060815	2006	Slope	34
D	03	20060815	2006	SloOrien	300
D	03	20000822	2000	SloShape	2
D	03	20060815	2006	SurfRock	4
D	03	20050816	2005	ThickO	6
D	03	20050816	2005	ThickA	12
D	03	20060815	2006	PresE	1
D	03	20050816	2005	RootDpth	27
D	03	20020821	2002	CanoOpen	5.9
D	03	19990825	1999	TreeYear	1907
D	04	20000822	2000	Lat	45.99373248
D	04	20000822	2000	Long	-74.002112
D	04	20000822	2000	Elev	393.26
D	04	20060815	2006	Slope	24
D	04	20060815	2006	SloOrien	305
D	04	20000822	2000	SloShape	1
D	04	20060815	2006	SurfRock	3
D	04	20050816	2005	ThickO	6
D	04	20050816	2005	ThickA	8
D	04	20060815	2006	PresE	1
D	04	20050816	2005	RootDpth	20
D	04	20020821	2002	CanoOpen	7.06
D	04	19990825	1999	TreeYear	1907
D	05	20000822	2000	Lat	45.99386722
D	05	20000822	2000	Long	-74.00136905
D	05	20000822	2000	Elev	401.169
D	05	20060815	2006	Slope	30
D	05	20060815	2006	SloOrien	246
D	05	20000822	2000	SloShape	2
D	05	20060815	2006	SurfRock	4
D	05	20050816	2005	ThickO	6
D	05	20050816	2005	ThickA	3
D	05	20060815	2006	PresE	1
D	05	20050816	2005	RootDpth	25
D	05	20020821	2002	CanoOpen	8.06
D	05	19990825	1999	TreeYear	1920
D	06	20000822	2000	Lat	45.99399097
D	06	20000822	2000	Long	-74.00082873
D	06	20000822	2000	Elev	410.447
D	06	20060815	2006	Slope	14
D	06	20060815	2006	SloOrien	243
D	06	20000822	2000	SloShape	3
D	06	20060815	2006	SurfRock	2
D	06	20050816	2005	ThickO	7
D	06	20050816	2005	ThickA	6
D	06	20060815	2006	PresE	1
D	06	20050816	2005	RootDpth	25
D	06	20020821	2002	CanoOpen	7.26
D	06	19990825	1999	TreeYear	1917
D	07	20000822	2000	Lat	45.99413888
D	07	20000822	2000	Long	-74.00007777
D	07	20000822	2000	Elev	414.571
D	07	20060815	2006	Slope	15
D	07	20060815	2006	SloOrien	262
D	07	20000822	2000	SloShape	1
D	07	20060815	2006	SurfRock	2
D	07	20050816	2005	ThickO	5
D	07	20050816	2005	ThickA	4
D	07	20060815	2006	PresE	1
D	07	20050816	2005	RootDpth	23
D	07	20020821	2002	CanoOpen	7.36
D	07	19990825	1999	TreeYear	1923
D	08	20000822	2000	Lat	45.9942837
D	08	20000822	2000	Long	-73.99951668
D	08	20000822	2000	Elev	417.004
D	08	20060815	2006	Slope	32
D	08	20060815	2006	SloOrien	60
D	08	20000822	2000	SloShape	1
D	08	20060815	2006	SurfRock	3
D	08	20050816	2005	ThickO	5
D	08	20050816	2005	ThickA	4
D	08	20060815	2006	PresE	1
D	08	20050816	2005	RootDpth	30
D	08	20020821	2002	CanoOpen	2.29
D	08	19990825	1999	TreeYear	1919
E	01	20000822	2000	Lat	45.99349873
E	01	20000822	2000	Long	-74.00438535
E	01	20000822	2000	Elev	372.276
E	01	20060815	2006	Slope	29
E	01	20060815	2006	SloOrien	224
E	01	20000822	2000	SloShape	3
E	01	20060815	2006	SurfRock	5
E	01	20050816	2005	ThickO	0
E	01	20050816	2005	ThickA	0
E	01	20060815	2006	PresE	0
E	01	20050816	2005	RootDpth	0
E	01	20020821	2002	CanoOpen	24.2
E	01	19990825	1999	TreeYear	1916
E	02	20000822	2000	Lat	45.99366083
E	02	20000822	2000	Long	-74.00375545
E	02	20000822	2000	Elev	371.81
E	02	20060815	2006	Slope	32
E	02	20060815	2006	SloOrien	170
E	02	20000822	2000	SloShape	1
E	02	20060815	2006	SurfRock	5
E	02	20050816	2005	ThickO	5
E	02	20050816	2005	ThickA	4
E	02	20060815	2006	PresE	0
E	02	20050816	2005	RootDpth	30
E	02	20020821	2002	CanoOpen	9.3
E	02	19990825	1999	TreeYear	1920
E	03	20000822	2000	Lat	45.99387962
E	03	20000822	2000	Long	-74.00317732
E	03	20000822	2000	Elev	378.692
E	03	20060815	2006	Slope	31
E	03	20060815	2006	SloOrien	261
E	03	20000822	2000	SloShape	3
E	03	20060815	2006	SurfRock	3
E	03	20050816	2005	ThickO	4
E	03	20050816	2005	ThickA	3
E	03	20060815	2006	PresE	0
E	03	20050816	2005	RootDpth	25
E	03	20020821	2002	CanoOpen	4.41
E	03	19990825	1999	TreeYear	1912
E	04	20000822	2000	Lat	45.99409065
E	04	20000822	2000	Long	-74.0025576
E	04	20000822	2000	Elev	388.945
E	04	20060815	2006	Slope	26
E	04	20060815	2006	SloOrien	262
E	04	20000822	2000	SloShape	1
E	04	20060815	2006	SurfRock	5
E	04	20050816	2005	ThickO	5
E	04	20050816	2005	ThickA	5
E	04	20060815	2006	PresE	0
E	04	20050816	2005	RootDpth	40
E	04	20020821	2002	CanoOpen	9.34
E	04	19990825	1999	TreeYear	1914
E	05	20000822	2000	Lat	45.99424698
E	05	20000822	2000	Long	-74.00200612
E	05	20000822	2000	Elev	389.647
E	05	20060815	2006	Slope	45
E	05	20060815	2006	SloOrien	309
E	05	20000822	2000	SloShape	3
E	05	20060815	2006	SurfRock	4
E	05	20050816	2005	ThickO	6
E	05	20050816	2005	ThickA	5
E	05	20060815	2006	PresE	1
E	05	20050816	2005	RootDpth	31
E	05	20020821	2002	CanoOpen	8.54
E	05	19990825	1999	TreeYear	1935
E	06	20000822	2000	Lat	45.99437827
E	06	20000822	2000	Long	-74.00149957
E	06	20000822	2000	Elev	395.75
E	06	20060815	2006	Slope	33
E	06	20060815	2006	SloOrien	254
E	06	20000822	2000	SloShape	3
E	06	20060815	2006	SurfRock	4
E	06	20050816	2005	ThickO	6
E	06	20050816	2005	ThickA	3
E	06	20060815	2006	PresE	1
E	06	20050816	2005	RootDpth	29
E	06	20020821	2002	CanoOpen	3.7
E	06	19990825	1999	TreeYear	1917
E	07	20000822	2000	Lat	45.9945135
E	07	20000822	2000	Long	-74.00094483
E	07	20000822	2000	Elev	426
E	07	20060815	2006	Slope	35
E	07	20060815	2006	SloOrien	331
E	07	20000822	2000	SloShape	1
E	07	20060815	2006	SurfRock	2
E	07	20050816	2005	ThickO	6
E	07	20050816	2005	ThickA	3
E	07	20060815	2006	PresE	0
E	07	20050816	2005	RootDpth	30
E	07	20020821	2002	CanoOpen	3.7
E	07	19990825	1999	TreeYear	1925
E	08	20000822	2000	Lat	45.99464067
E	08	20000822	2000	Long	-74.0003825
E	08	20000822	2000	Elev	421
E	08	20060815	2006	Slope	23
E	08	20060815	2006	SloOrien	300
E	08	20000822	2000	SloShape	1
E	08	20060815	2006	SurfRock	2
E	08	20050816	2005	ThickO	7
E	08	20050816	2005	ThickA	7
E	08	20060815	2006	PresE	1
E	08	20050816	2005	RootDpth	24
E	08	20020821	2002	CanoOpen	3.02
E	08	19990825	1999	TreeYear	1917
